Chain Start,Chain End
41915728,69939312
44839756,65120520
48951114,24547809
4061714,7510393
86908851,4718406
94159636,22622854
78101662,19729150
55224155,10093484
14354062,32754998
17011611,20405803
70353237,276143
54921922,87592964
80493567,27719773
49150543,53376034
87670184,90145738
30184315,22532968
63785693,26064229
42563816,6193336
23221817,6655034
76286394,23290549
91394138,94257668
19861051,42721497
63643526,50538857
71297393,3807215
11217318,39077746
42810103,10018932
81938805,56204396
2243253,37742897
94281965,18996027
41426857,14023397
65488571,88456894
60677916,57007848
64474473,19443444
43893456,75727689
98644895,33658450
20929702,14665216
44595517,83233158
43033756,7839130
36849510,53024189
24440966,23727575
24307376,95655161
95547325,12001968
95476669,84853562
14621833,52428633
38288732,69492952
39032482,57734639
11931902,60328342
33692428,70023816
76348083,53155781
93637158,95750936
54542842,50089533
34525612,57861748
87668971,46281058
89102775,5328204
27984546,49363529
16101225,4516032
11991198,48365340
35283624,75340166
50466870,6689213
99283941,53916226
40495378,14440958
6714878,55172602
46341913,59303911
49809060,37061843
30270001,12265088
40806481,140999
7886403,22861650
36316707,14315289
1694260,32744
71633656,41278931
65242963,84899293
43670157,88265763
36656846,41888121
2815536,43618703
960493,2116640
94880538,23126530
66922279,59313494
84266810,40214842
91503016,32834675
48510177,38027719
60753932,87101335
53878349,14742677
77502655,39564058
45937719,61485179
54446761,541523
96826299,91153473
61195798,32778114
96786452,83187156
35551179,55074196
59340129,18692205
57681356,87544663
98194437,2477417
56857077,50277781
56846897,45370012
53889222,98657859
7828784,10260125
71390144,14330404
68110338,60113459
29144814,11068623
29587189,57578972
11191336,25499812
35397678,8337911
37009363,28190615
35611115,30937277
70011309,92034003
7676629,35281306
71589260,59868895
21164832,1496228
34031722,68014233
97514290,86015314
429629,17322462
96951413,10420226
14445999,10304946
86929675,89962262
47718000,620028
23469313,37774512
75275918,5729841
23328471,60043936
82349347,41589346
6130790,50300627
59134589,7092659
9517877,35609273
17005902,60987245
71328225,49184612
69721586,78500561
79663275,56622831
86945807,56900418
30182240,88361748
41368022,45781487
62320752,73416077
93053521,21474224
11057220,26438688
58922793,77107165
51371615,20080217
66411147,78582457
22363915,45214639
40879605,99196796
20467305,97284392
17343805,11446932
90965375,89942351
77311595,83591712
3605181,30335065
79797920,26193336
37186558,22448879
35756345,5057191
43021609,41767839
20332407,42389240
3069786,99797159
20350592,48592957
72273255,18123966
66508806,49822935
35268682,43501712
9236021,32088755
47571356,6885534
87170029,88852981
57490899,90510644
30595973,52276141
84782527,76670015
53070288,20354495
47477118,83332159
92665144,52406168
84283772,27925834
42791601,4851621
70977365,68540101
18578355,62119671
94348969,31233244
99123558,38686460
60797463,27250096
46131129,31678809
43747330,33962786
39528500,88728699
67053741,57801247
93548341,64953635
28222726,70732369
68424593,23553203
49186933,11941762
44544324,40110667
41272139,6029863
63083558,98441148
54340470,94018474
472446,96548331
7033761,91391204
28022957,9566921
90669660,82273283
673538,44594620
443488,95826719
79114408,61542787
40489550,89478874
